"NOM","PRENOM","LOGIN","MAIL","NOTE1","NOTE2","NOTE3"
"Nom86","Prénom86","nomprenom86",,10,11,12
"Nom87","Prénom87","nomprenom87",,10,11,12
"Nom88","Prénom88","nomprenom88",,10,11,12
"Nom89","Prénom89","nomprenom89",,10,11,12
"Nom90","Prénom90","nomprenom90",,10,11,12
"Nom91","Prénom91","nomprenom91",,10,11,12
"Nom92","Prénom92","nomprenom92",,10,11,12
"Nom93","Prénom93","nomprenom93",,10,11,12
"Nom94","Prénom94","nomprenom94",,10,11,12
"Nom95","Prénom95","nomprenom95",,10,11,12
"Nom96","Prénom96","nomprenom96",,10,11,12
"Nom97","Prénom97","nomprenom97",,10,11,12
"Nom98","Prénom98","nomprenom98",,10,11,12
"Nom99","Prénom99","nomprenom99",,10,11,12
"Nom100","Prénom100","nomprenom100",,10,11,12
"Nom101","Prénom101","nomprenom101",,10,11,12
"Nom102","Prénom102","nomprenom102",,10,11,12
"Nom103","Prénom103","nomprenom103",,10,11,12
"Nom104","Prénom104","nomprenom104",,10,11,12
"Nom105","Prénom105","nomprenom105",,10,11,12
"Nom106","Prénom106","nomprenom106",,10,11,12
"Nom107","Prénom107","nomprenom107",,10,11,12
"Nom108","Prénom108","nomprenom108",,10,11,12
"Nom109","Prénom109","nomprenom109",,10,11,12
"Nom110","Prénom110","nomprenom110",,10,11,12
"Nom111","Prénom111","nomprenom111",,10,11,12
"Nom112","Prénom112","nomprenom112",,10,11,12
"Nom113","Prénom113","nomprenom113",,10,11,12
"Nom114","Prénom114","nomprenom114",,10,11,12
"Nom115","Prénom115","nomprenom115",,10,11,12
"Nom116","Prénom116","nomprenom116",,10,11,12
"Nom117","Prénom117","nomprenom117",,10,11,12
"Nom118","Prénom118","nomprenom118",,10,11,12
"Nom119","Prénom119","nomprenom119","s.celles@gmail.com",10,11,12
